County,Candidate,Party
ARAD,VĂRȘAN CIPRIAN-NICOLAE,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,CRIȘAN DENISIA-DANIELA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,BĂGUȚ CIPRIAN-NICOLAE,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,DĂRĂU ANCUȚA-ELENA,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,CĂPĂLNĂȘAN FĂNICĂ,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,FLOREA EDUARD-RAFAEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,NICHITEAN CLAUDIUS-OCTAVIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
ARAD,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""

ARAD,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
ARAD,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
ARAD,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
ARAD,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
ARAD,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
ARAD,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
ARAD,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
ARAD,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
ARAD,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
ARAD,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
ARAD,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
ARAD,ILEA DAMIAN-IONEL,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ARAD,IONESI CORNELIU,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ARAD,MĂLĂETE DANIELA-MIHAELA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
ARAD,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
ARAD,DEMEA SABIN-MUGUREL,FORȚA DREPTEI
ARAD,CRAIVAN CAMELIA-EUGENIA,FORȚA DREPTEI
ARAD,COJOCARU GHEORGHE-MIHAI,FORȚA DREPTEI
ARAD,RUS VIOREL,FORȚA DREPTEI
ARAD,SENACI DANIEL-TRAIAN,FORȚA DREPTEI
ARAD,BUGI IONICĂ-GHEORGHE,FORȚA DREPTEI
ARAD,CRIȘAN LARISA,FORȚA DREPTEI
ARAD,STOIAN COSMIN-CLAUDIU,FORȚA DREPTEI
ARAD,ILEA ȘTEFAN-IUSTIN,FORȚA DREPTEI
ARAD,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
ARAD,MOȚEC ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
ARAD,PERVULESCU ASTRID-MARICHEN,FORUMUL CEHILOR DIN ROMÂNIA
ARAD,GANȚ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
ARAD,ȘINDILARIU THOMAS,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
ARAD,ROST ANDREA-BETTINA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
ARAD,MANTA-KLEMENS CHRISTINE,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
ARAD,BĂDESCU VICTOR-ȘTEFAN,PARTIDUL LIGA ACȚIUNII NAȚIONALE
ARAD,TETULEA GEORGETA-CRISTINA,PARTIDUL LIGA ACȚIUNII NAȚIONALE

ARAD,POP SEBASTIAN-TIBERIU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,TYUKODI ANA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,CĂLUGĂR MARIUS,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,ADOC ADRIAN-IOSIF,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,PETRUȚIU NICOLAE-DAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,RUS LAURA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,TASCH TIBERIU-MARIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,LEGHEZEU CRISTIAN-ȘTEFAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,SĂVAN IOAN-FLORIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
ARAD,PISTRU-POPA SIMONA-GEANINA,PARTIDUL NAȚIONAL LIBERAL
ARAD,CADAR RĂZVAN-OLIMPIU,PARTIDUL NAȚIONAL LIBERAL
ARAD,MĂDUȚA FLAVIUS-LUIGI,PARTIDUL NAȚIONAL LIBERAL
ARAD,BOT VALENTIN,PARTIDUL NAȚIONAL LIBERAL
ARAD,TOMUȚA DANIEL-SORIN,PARTIDUL NAȚIONAL LIBERAL
ARAD,CIOROGAR CRISTINA-DENISA,PARTIDUL NAȚIONAL LIBERAL
ARAD,MAG MIHAI,PARTIDUL NAȚIONAL LIBERAL
ARAD,TIPEI-VOIA MARIANA,PARTIDUL NAȚIONAL LIBERAL
ARAD,FAUR BOGDAN-ALEXANDRU,PARTIDUL NAȚIONAL LIBERAL
ARAD,GEORGESCU ELISEI,PARTIDUL NOUA ROMÂNIE
ARAD,PLAI MIHAI-DANIEL,PARTIDUL OAMENILOR TINERI
ARAD,SOCIAN RADU-ALEXANDRU,PARTIDUL OAMENILOR TINERI
ARAD,SOCIAN DIANA-BIANCA,PARTIDUL OAMENILOR TINERI
ARAD,HORNEA FLORIN-ADRIAN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
ARAD,GĂRDĂU MIHAELA-CAMELIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
