County,Candidate,Party
SATU MARE,BUTEAN IONUȚ,PARTIDUL SOCIAL DEMOCRAT
SATU MARE,FEHER DANIEL,PARTIDUL SOCIAL DEMOCRAT
SATU MARE,CIGAN-BOLDAN LAVINIA-LIVIA,PARTIDUL SOCIAL DEMOCRAT
SATU MARE,BATIN VASILE-DORIN-DUMITRU,PARTIDUL SOCIAL DEMOCRAT
SATU MARE,GABOR BLANKA,PARTIDUL SOCIAL DEMOCRAT UNIT
SATU MARE,DEAC VASILE,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,TOMA IOAN,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,SAVA-TOADER MIHAELA,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,ȘERBAN IOAN-MARIUS,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,JOLTEA BRÎNDUȘA-ELENA,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,CADAR JENICA,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,ZIMBRU VASILE,PARTIDUL S.O.S. ROMÂNIA
SATU MARE,BUNA ERIKA-IRÉN,PATRIOȚII POPORULUI ROMÂN
SATU MARE,STAN VASILE,ROMÂNIA SOCIALISTĂ
SATU MARE,IONAȘ GEORGY-JOVANI,ROMÂNIA SOCIALISTĂ
SATU MARE,IOVU ALEXANDRA-DANIELA,ROMÂNIA SOCIALISTĂ
SATU MARE,CHILIAN BOGDAN-ȘTEFAN,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
SATU MARE,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
SATU MARE,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
SATU MARE,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
SATU MARE,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA

SATU MARE,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SATU MARE,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SATU MARE,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SATU MARE,IVANCIOV ANA-CAROLINA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SATU MARE,PIȚ DANIEL-MARIUS,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SATU MARE,SEHABI PETRONELA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SATU MARE,GHERA GIURECI-SLOBODAN,UNIUNEA CROAȚILOR DIN ROMÂNIA
SATU MARE,FIRCZAK IULIUS -MARIAN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SATU MARE,GAL FRANCISC-OSCAR,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SATU MARE,MUREȘAN MARIANA-SVETLANA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SATU MARE,BOJCSUK SVETLANA-CARMEN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SATU MARE,BODNARIUC GABRIELA-CRISTINA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SATU MARE,BOCICOR MARIA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SATU MARE,AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SATU MARE,OMER METIN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SATU MARE,ZIADIN ELA,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SATU MARE,ARSLAN OZGÜN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SATU MARE,VELULA ADEL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SATU MARE,MAGYAR LORÁND-BÁLINT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,NAGY SZABOLCS,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,KALLOS ZOLTAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,FANEA IMOLA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,BALOGH SANDOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,VERON XENIA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,MUREȘAN ȘTEFAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SATU MARE,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
SATU MARE,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
SATU MARE,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
SATU MARE,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
SATU MARE,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
SATU MARE,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
SATU MARE,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
SATU MARE,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA

SATU MARE,PANAIT RADU,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,CĂLIN MIRCEA-CĂTĂLIN,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,RUS SORIN,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,TURNER CORINA-MIHAELA,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,OȘAN FLAVIU-IOAN,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,POP GEORGEL-VLĂDUȚ,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,CIORĂ VASILE,UNIUNEA SALVAȚI ROMÂNIA
SATU MARE,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA
SATU MARE,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SATU MARE,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SATU MARE,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SATU MARE,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SATU MARE,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SATU MARE,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SĂLAJ,LASCU FLORIANA-DELIA,ALIANȚA NAȚIONAL CREȘTINĂ
SĂLAJ,IANCU ELENA,ALIANȚA NAȚIONAL CREȘTINĂ
SĂLAJ,CERBU ILIE-MARIUS,ALIANȚA NAȚIONAL CREȘTINĂ
SĂLAJ,POPA LOREDANA-LAVINIA,ALIANȚA NAȚIONAL CREȘTINĂ
SĂLAJ,DRĂGHICI LEONTINA-IONELA,ALIANȚA NAȚIONAL CREȘTINĂ
SĂLAJ,MUȘAT DORU-LUCIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
SĂLAJ,LUCACI ANDREEA-IOANA,ALIANȚA PENTRU UNIREA ROMÂNILOR
SĂLAJ,ERAȘCU BOGDAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
SĂLAJ,PANȚIRU IOAN-VASILE,ALIANȚA PENTRU UNIREA ROMÂNILOR
SĂLAJ,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
SĂLAJ,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""
SĂLAJ,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
SĂLAJ,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
SĂLAJ,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SĂLAJ,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SĂLAJ,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SĂLAJ,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SĂLAJ,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SĂLAJ,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""

SĂLAJ,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
SĂLAJ,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
SĂLAJ,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
SĂLAJ,GHERMAN IONUȚ-OVIDIU,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SĂLAJ,BONȚE-CIOCANI DENISA-ALEXANDRA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SĂLAJ,POIENARU TEODOR,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SĂLAJ,CURTUȘAN DAN-CIPRIAN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SĂLAJ,PLEȘ IONUȚ-MIHAI,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SĂLAJ,GAVRIȘ MĂDĂLINA-IOANA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SĂLAJ,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
SĂLAJ,SIMIONESCU MIHAI,FORȚA DREPTEI
SĂLAJ,POP VASILE-MARINEL,FORȚA DREPTEI
SĂLAJ,PUȘCAȘ FLORIN-MIHAI,FORȚA DREPTEI
SĂLAJ,CHIOREAN OVIDIU-LIVIU,FORȚA DREPTEI
SĂLAJ,DIACONU ELENA-LAURA,FORȚA DREPTEI
SĂLAJ,CORNIȘ ONUȚ,FORȚA DREPTEI
SĂLAJ,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
SĂLAJ,MOȚEC ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
SĂLAJ,PERVULESCU ASTRID-MARICHEN,FORUMUL CEHILOR DIN ROMÂNIA
SĂLAJ,GANȚ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SĂLAJ,ȘINDILARIU THOMAS,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SĂLAJ,ROST ANDREA-BETTINA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SĂLAJ,MANTA-KLEMENS CHRISTINE,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SĂLAJ,HODIȘ VALENTIN-IOAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SĂLAJ,IANCHIȘ IONATAN-VIOREL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SĂLAJ,MIEREA PATRICIA-FLORINA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SĂLAJ,GOG LUCIAN-CĂLIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SĂLAJ,BUDA IOAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SĂLAJ,BODE LUCIAN-NICOLAE,PARTIDUL NAȚIONAL LIBERAL
SĂLAJ,BĂGĂREAN MONICA,PARTIDUL NAȚIONAL LIBERAL
SĂLAJ,MIHIȘ VIOREL,PARTIDUL NAȚIONAL LIBERAL
SĂLAJ,ZAHARIE MIHAI-BOGDAN,PARTIDUL NAȚIONAL LIBERAL
SĂLAJ,BARBUR ROMEO-PAUL,PARTIDUL NAȚIONAL LIBERAL

SĂLAJ,CIORTEA FLAVIU-CORNELIU,PARTIDUL NAȚIONAL LIBERAL
SĂLAJ,ANTON CARMEN,PARTIDUL NOUA ROMÂNIE
SĂLAJ,GAL GAVRIL-LUCIAN,PARTIDUL OAMENILOR TINERI
SĂLAJ,PINTEA ALEXANDRINA-ANAMARIA,PARTIDUL OAMENILOR TINERI
SĂLAJ,JOLDEȘ ANDREI,PARTIDUL OAMENILOR TINERI
SĂLAJ,PRUNEAN ALIN-COSTEL,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
SĂLAJ,POP ADRIANA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
SĂLAJ,BABOȘ GEORGE-MIHAI,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
SĂLAJ,ILIEȘ RADU-GABRIEL,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
SĂLAJ,FĂRCAȘ LIVIU,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
SĂLAJ,BALINT LIVIU-IOAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
SĂLAJ,POP-COZAC SORINA-GEORGETA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
SĂLAJ,POP IOAN-PAUL,PARTIDUL ROMÂNIA ÎN ACȚIUNE
SĂLAJ,LUPOU FLORICA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
SĂLAJ,VOCHIȚOIU VIRGIL-CLAUDIU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
SĂLAJ,HAIDUC MARIUS-BENIAMIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
SĂLAJ,CIUNT IONEL,PARTIDUL SOCIAL DEMOCRAT
SĂLAJ,NEAGA FLORIAN-CLAUDIU,PARTIDUL SOCIAL DEMOCRAT
SĂLAJ,CIOBANU ANDA-MARIA,PARTIDUL SOCIAL DEMOCRAT
SĂLAJ,ANTIȘAN CIPRIAN-AURELIAN,PARTIDUL SOCIAL DEMOCRAT
SĂLAJ,CIUPE LARISA-DINA,PARTIDUL SOCIAL DEMOCRAT
SĂLAJ,IRIMIEA ANCA-MANUELA,PARTIDUL SOCIAL DEMOCRAT
SĂLAJ,UDREA CARMEN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
SĂLAJ,CLOȘCARU OCTAVIAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
SĂLAJ,TOMESCU CARMEN-ELENA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
SĂLAJ,MIHAI RUXANDA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
SĂLAJ,FIERARIU NICOLAE-CĂTĂLIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
SĂLAJ,PÜSÖK FERENC,PARTIDUL S.O.S. ROMÂNIA
SĂLAJ,CRIȘAN FLORINEL-NICOLAE,PARTIDUL S.O.S. ROMÂNIA
SĂLAJ,BORDAȘ ANCA-CLAUDIA,PARTIDUL S.O.S. ROMÂNIA
SĂLAJ,GAGA MOISE-DANIEL,PARTIDUL S.O.S. ROMÂNIA
SĂLAJ,VACARCIUC ROXANA-VIORICA,PARTIDUL S.O.S. ROMÂNIA
SĂLAJ,BREJE STELIAN,PARTIDUL S.O.S. ROMÂNIA

SĂLAJ,PAȘCALĂU FLORIN-LUCIAN,PATRIOȚII POPORULUI ROMÂN
SĂLAJ,COSMA TEODOR-MIHAI,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
SĂLAJ,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
SĂLAJ,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
SĂLAJ,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
SĂLAJ,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA
SĂLAJ,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SĂLAJ,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SĂLAJ,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SĂLAJ,IVANCIOV ANA-CAROLINA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SĂLAJ,PIȚ DANIEL-MARIUS,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SĂLAJ,SEHABI PETRONELA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
SĂLAJ,GHERA GIURECI-SLOBODAN,UNIUNEA CROAȚILOR DIN ROMÂNIA
SĂLAJ,FIRCZAK IULIUS -MARIAN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SĂLAJ,GAL FRANCISC-OSCAR,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SĂLAJ,MUREȘAN MARIANA-SVETLANA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SĂLAJ,BOJCSUK SVETLANA-CARMEN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SĂLAJ,BODNARIUC GABRIELA-CRISTINA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SĂLAJ,BOCICOR MARIA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
SĂLAJ,AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SĂLAJ,OMER METIN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SĂLAJ,ZIADIN ELA,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SĂLAJ,ARSLAN OZGÜN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SĂLAJ,VELULA ADEL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
SĂLAJ,SERES DENES,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SĂLAJ,LUCZA ISTVAN-ATTILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SĂLAJ,KOVÁCS ZOLTAN-ZSOLT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SĂLAJ,PÁLFFY ORSOLYA-KINGA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SĂLAJ,SZOBOSZLAI GYÖRK,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SĂLAJ,GÁL-MÁTÉ ISTVÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
SĂLAJ,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
SĂLAJ,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
SĂLAJ,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA

SĂLAJ,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
SĂLAJ,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
SĂLAJ,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
SĂLAJ,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
SĂLAJ,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA
SĂLAJ,COSMA HORAȚIU-LUCIAN,UNIUNEA SALVAȚI ROMÂNIA
SĂLAJ,BOSTAN RAMONA-LAURA,UNIUNEA SALVAȚI ROMÂNIA
SĂLAJ,GOGA RAMONA-IOANA,UNIUNEA SALVAȚI ROMÂNIA
SĂLAJ,OLAR NICOLAE,UNIUNEA SALVAȚI ROMÂNIA
SĂLAJ,BUZURE DANA,UNIUNEA SALVAȚI ROMÂNIA
SĂLAJ,BAIDOC SERGIU-CRISTIAN,UNIUNEA SALVAȚI ROMÂNIA
SĂLAJ,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA
SĂLAJ,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SĂLAJ,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SĂLAJ,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SĂLAJ,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SĂLAJ,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SĂLAJ,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
SIBIU,IANCU MIHAI-COSMIN,ALIANȚA NAȚIONAL CREȘTINĂ
SIBIU,TĂRCHILĂ PAUL,ALIANȚA NAȚIONAL CREȘTINĂ
SIBIU,COJENEL ANA-MARIA,ALIANȚA NAȚIONAL CREȘTINĂ
SIBIU,BUJAN BIANCA-DENISA,ALIANȚA NAȚIONAL CREȘTINĂ
SIBIU,NICU MARIAN-CASIAN,ALIANȚA NAȚIONAL CREȘTINĂ
SIBIU,RADU FABIAN-CRISTIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,CHIRA VASILE,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,ȚOȚA RADU,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,SAVA AUGUSTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,MATEI MARIUS-DĂNUȚ,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,DINCĂ ADRIANA-MIOARA,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,RĂDULESCU DANIELA-LUMINIȚA,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,PILOIU ILIE-CĂLIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
SIBIU,TĂNASE GHEORGHE,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
SIBIU,CĂLIN CRISTI,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ

SIBIU,CIUCĂ IONUȚ-IULIAN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
SIBIU,CĂLIN MARIA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
SIBIU,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
SIBIU,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""
SIBIU,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
SIBIU,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
SIBIU,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SIBIU,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SIBIU,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SIBIU,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SIBIU,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SIBIU,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
SIBIU,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
SIBIU,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
SIBIU,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
SIBIU,VULCAN MARIUS,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
SIBIU,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
SIBIU,ȘOVĂIALĂ CONSTANTIN,FORȚA DREPTEI
SIBIU,BIȚU ANDREI-LIVIU,FORȚA DREPTEI
SIBIU,HELERA CRISTIAN,FORȚA DREPTEI
SIBIU,FĂTĂȘAN VANESSA-DORIANA,FORȚA DREPTEI
SIBIU,PANȚIRU MIHAI,FORȚA DREPTEI
SIBIU,ZEREȘ GHEORGHE-CIPRIAN,FORȚA DREPTEI
SIBIU,MACREA FLORIN-ADRIAN,FORȚA DREPTEI
SIBIU,CRUDULECI BOGDAN-SEBASTIAN,FORȚA DREPTEI
SIBIU,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
SIBIU,MOȚEC ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
SIBIU,PERVULESCU ASTRID-MARICHEN,FORUMUL CEHILOR DIN ROMÂNIA
SIBIU,GANȚ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SIBIU,ȘINDILARIU THOMAS,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SIBIU,ROST ANDREA-BETTINA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SIBIU,MANTA-KLEMENS CHRISTINE,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
SIBIU,GLIGOR IOAN,PARTIDUL ECOLOGIST ROMÂN

SIBIU,TRANCĂ LUCIAN-LIVIU,PARTIDUL ECOLOGIST ROMÂN
SIBIU,TĂVALĂ CRISTINA-MARIA,PARTIDUL ECOLOGIST ROMÂN
SIBIU,ANGHEL EMIL,PARTIDUL ECOLOGIST ROMÂN
SIBIU,DRAGOE CHIVUȚA-SORIȚA,PARTIDUL ECOLOGIST ROMÂN
SIBIU,CANCIU DENISE-DANIELA,PARTIDUL ECOLOGIST ROMÂN
SIBIU,URSA MIHAI,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SIBIU,BUNACIU VASILE-BOGDAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SIBIU,TOMESCU EMILIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SIBIU,SATMAR VASILE-MAXIMILIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SIBIU,ROATIȘ LAURENȚIU-DAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
SIBIU,TURCAN RALUCA,PARTIDUL NAȚIONAL LIBERAL
SIBIU,POPA VIRGIL,PARTIDUL NAȚIONAL LIBERAL
SIBIU,THELLMANN CHRISTINE,PARTIDUL NAȚIONAL LIBERAL
SIBIU,ROMAN VASILE-CRISTIAN,PARTIDUL NAȚIONAL LIBERAL
SIBIU,RĂULEA ADRIAN-NICOLAE,PARTIDUL NAȚIONAL LIBERAL
SIBIU,VASIU ADRIAN STEFAN HOREA,PARTIDUL NAȚIONAL LIBERAL
SIBIU,STREZA MĂDĂLINA-GABRIELA,PARTIDUL NAȚIONAL LIBERAL
